piece,square,is_white,period,count
rook,b8,True,pre-ai,2174
queen,h6,False,pre-ai,1536
pawn,d8,True,pre-ai,553
bishop,b3,False,pre-ai,1251
bishop,a8,True,pre-ai,782
bishop,b6,True,pre-ai,1451
rook,a4,False,pre-ai,2364
pawn,a7,True,pre-ai,1508
bishop,g3,False,pre-ai,1682
king,h5,False,pre-ai,1993
king,a1,True,pre-ai,956
bishop,h7,False,pre-ai,703
king,c6,True,pre-ai,1346
king,b7,True,pre-ai,808
king,a7,True,pre-ai,494
king,b6,True,pre-ai,1163
knight,e1,False,pre-ai,632
rook,c5,False,pre-ai,2336
bishop,a1,False,pre-ai,854
bishop,g6,True,pre-ai,2126
pawn,b8,True,pre-ai,613
queen,a7,False,pre-ai,806
king,h3,False,pre-ai,829
rook,b4,True,pre-ai,1733
bishop,h8,True,pre-ai,421
queen,a8,False,pre-ai,971
king,f3,False,pre-ai,1488
king,g2,False,pre-ai,706
king,g1,False,pre-ai,380
knight,f7,False,pre-ai,1369
king,d2,False,pre-ai,683
king,b2,False,pre-ai,855
king,a2,False,pre-ai,556
king,a1,False,pre-ai,272
knight,h7,False,pre-ai,1107
bishop,f8,True,pre-ai,1269
knight,h7,True,pre-ai,666
bishop,c2,True,pre-ai,3066
rook,b5,True,pre-ai,2078
knight,a6,True,pre-ai,635
king,a6,False,pre-ai,1146
king,h2,False,pre-ai,476
pawn,f8,True,pre-ai,519
bishop,g1,True,pre-ai,314
pawn,a8,True,pre-ai,864
queen,h2,True,pre-ai,578
queen,b8,False,pre-ai,1539
queen,f8,False,pre-ai,1521
queen,a2,True,pre-ai,675
king,e7,True,pre-ai,727
king,d8,True,pre-ai,259
king,c8,True,pre-ai,285
bishop,h1,True,pre-ai,314
bishop,b8,True,pre-ai,581
pawn,d7,True,pre-ai,1435
pawn,g7,True,pre-ai,1257
pawn,g8,True,pre-ai,528
king,e6,True,pre-ai,1368
king,f1,False,pre-ai,324
bishop,a2,True,pre-ai,959
rook,f4,True,pre-ai,2654
knight,a8,False,pre-ai,139
knight,a2,False,pre-ai,673
bishop,e8,True,pre-ai,607
knight,h6,True,pre-ai,968
king,b3,False,pre-ai,1244
pawn,e7,True,pre-ai,1187
pawn,e8,True,pre-ai,467
knight,h3,False,pre-ai,829
pawn,h8,True,pre-ai,665
queen,h7,False,pre-ai,535
rook,c7,False,pre-ai,3372
king,a3,False,pre-ai,737
knight,c1,True,pre-ai,748
knight,a2,True,pre-ai,483
queen,g1,True,pre-ai,484
bishop,d1,True,pre-ai,1452
king,c7,True,pre-ai,781
king,a6,True,pre-ai,662
bishop,a8,False,pre-ai,607
queen,h8,False,pre-ai,363
queen,g8,False,pre-ai,541
king,f6,True,pre-ai,1591
knight,e8,False,pre-ai,1971
bishop,a1,True,pre-ai,429
king,f7,True,pre-ai,759
king,h7,True,pre-ai,529
knight,g2,True,pre-ai,661
king,e4,False,pre-ai,2433
bishop,a7,False,pre-ai,738
knight,g1,False,pre-ai,134
queen,h1,True,pre-ai,330
bishop,a2,False,pre-ai,771
king,c1,False,pre-ai,338
king,b1,False,pre-ai,406
king,b8,True,pre-ai,324
king,e1,False,pre-ai,290
bishop,b1,True,pre-ai,980
knight,e8,True,pre-ai,650
king,a8,True,pre-ai,226
king,h1,False,pre-ai,244
king,d7,True,pre-ai,700
king,f8,True,pre-ai,291
king,e8,True,pre-ai,262
king,g8,True,pre-ai,362
king,d1,False,pre-ai,268
knight,g7,False,pre-ai,794
bishop,g8,False,pre-ai,271
king,h8,True,pre-ai,253
bishop,b8,False,pre-ai,563
knight,a1,True,pre-ai,102
knight,h1,True,pre-ai,147
knight,h8,False,pre-ai,119
pawn,e4,True,early-post-ai,44621
pawn,e5,False,early-post-ai,37335
queen,h5,True,early-post-ai,5708
pawn,g6,False,early-post-ai,24497
queen,e5,True,early-post-ai,4674
bishop,e7,False,early-post-ai,19043
queen,h8,True,early-post-ai,1738
bishop,f6,False,early-post-ai,8322
queen,g8,True,early-post-ai,1003
king,e7,False,early-post-ai,11050
queen,h7,True,early-post-ai,2354
knight,f3,True,early-post-ai,51834
pawn,d5,False,early-post-ai,44089
pawn,d4,True,early-post-ai,47701
knight,f6,False,early-post-ai,50416
pawn,e3,True,early-post-ai,16073
knight,e4,False,early-post-ai,15811
pawn,c4,True,early-post-ai,26823
pawn,c5,False,early-post-ai,28563
pawn,d5,True,early-post-ai,25970
pawn,d4,False,early-post-ai,22635
knight,d4,True,early-post-ai,15432
pawn,e6,True,early-post-ai,4690
pawn,e6,False,early-post-ai,27536
bishop,d3,True,early-post-ai,18087
bishop,b4,False,early-post-ai,10907
knight,c3,True,early-post-ai,40315
knight,c3,False,early-post-ai,4853
pawn,c3,True,early-post-ai,22628
bishop,c3,False,early-post-ai,6341
bishop,d2,True,early-post-ai,10473
bishop,a1,False,early-post-ai,919
queen,a1,True,early-post-ai,807
bishop,b5,True,early-post-ai,12232
bishop,d7,False,early-post-ai,12605
bishop,d7,True,early-post-ai,2567
queen,d7,False,early-post-ai,9651
knight,b3,True,early-post-ai,3711
knight,c6,False,early-post-ai,37745
knight,c5,True,early-post-ai,4891
queen,c7,False,early-post-ai,10046
king,g1,True,early-post-ai,39711
king,c8,False,early-post-ai,7550
bishop,c3,True,early-post-ai,4238
rook,e8,False,early-post-ai,23449
rook,b1,True,early-post-ai,9929
pawn,b6,False,early-post-ai,14988
knight,a6,True,early-post-ai,555
queen,b7,False,early-post-ai,2133
knight,b4,True,early-post-ai,1365
knight,b4,False,early-post-ai,6410
bishop,b4,True,early-post-ai,2443
pawn,e4,False,early-post-ai,15997
rook,c1,True,early-post-ai,15582
king,d7,False,early-post-ai,8227
queen,d4,True,early-post-ai,7089
king,e6,False,early-post-ai,7131
queen,c4,True,early-post-ai,3933
king,e5,False,early-post-ai,4370
king,d6,False,early-post-ai,5925
rook,d1,True,early-post-ai,23035
king,f6,False,early-post-ai,8196
queen,c3,True,early-post-ai,4066
rook,d8,True,early-post-ai,4676
rook,d8,False,early-post-ai,20850
pawn,g3,True,early-post-ai,19405
rook,d1,False,early-post-ai,4370
king,g2,True,early-post-ai,12397
pawn,a5,False,early-post-ai,13955
queen,b3,True,early-post-ai,6386
rook,d5,False,early-post-ai,3451
bishop,a5,True,early-post-ai,1151
bishop,b6,True,early-post-ai,1629
king,c6,False,early-post-ai,4019
bishop,d4,True,early-post-ai,5792
queen,b5,False,early-post-ai,2230
rook,c5,False,early-post-ai,2433
bishop,c5,True,early-post-ai,3596
queen,c5,False,early-post-ai,4180
